Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
-2043, Giới tính không hợp lệ,, Giới tính không hợp lệ,,,
-2042, Tên đầy đủ không được dài hơn 50 ký tự,, Tên đầy đủ không được dài hơn 50 ký tự,,,
-2029, UM_VERSION_NOT_SUPPORT,, Phiên bản này đã quá cũ và không còn được hỗ trợ. Vui lòng cập nhật lên phiên bản mới nhất để tiếp tục sử dụng. Cảm ơn! ,,,
-2024, UM_REGISTER_LOGIN_BY_PHONE_EXPIRE ,," Hết thời gian thanh lý, vui lòng liên hệ bộ phận CSKH để được hỗ trợ 1900545436 ",,,
-2023, UM_OTP_EXPIRE ,, Mã xác thực hết hạn ,,,
-2022, UM_NEED_REGISTER_LOGIN_BY_PHONE ,," Hết thời gian login, vui lòng liên hệ bộ phận CSKH để được hỗ trợ 1900545436",,,
-2021, UM_FRONTENDID_NOT_ALLOW ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-2020, UM_EXCEED_OTP_NOT_MATCH ,," Sai mã xác thực quá số lần quy định, vui lòng thử lại sau 15 phút Hoặc liên hệ bộ phận CSKH để được hỗ trợ 1900545436 ",,,
-2019, UM_OTP_NOT_MATCH,, Mã xác thực không hợp lệ,,,
-2018, UM_NEED_LOGIN_BY_PHONE,," Hết thời gian login, vui lòng liên hệ bộ phận CSKH để được hỗ trợ 1900545436",,,
-2017, UM_SAVE_CACHE_FAIL,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-2016, UM_SESSION_LOGIN_NOT_FOUND,," Hết thời gian login, vui lòng liên hệ bộ phận CSKH để được hỗ trợ 1900545436",,,
-2015, UM_FRONTENDID_NOT_SUPPORT ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-2014, UM_FRONTENDID_INVALID ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-2013, UM_RECEIVER_LOCKED,, Tài khoản nhận tiền bị khóa.,,,
-2012, UM_RECEIVER_NOT_EXIST ,, Người nhận không tồn tại,,,
-2011, UM_DATA_INVALID ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-2010, UM_ZALO_OA_TEMP_NOT_EXIST ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-2009, UM_JSON_DATA_INVALID,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-2008, UM_PHONE_NUMBER_INVALID ,, Số điện thoại không hợp lệ,,,
-2007, UM_USER_NOT_FOUND ,, Tài khoản không tồn tại ,,,
-2006, UM_TRY_LOCK_FAIL,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-2005, UM_PHONE_NOT_SUPPORT,, Số điện thoại không hợp lệ,,,
-2004, UM_PROFILE_LEVEL_GREATE_THAN,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
-2003, UM_ZALO_EXIST ,," Hệ thống đang có lỗi, vui lòng thử lại sau ít phút. ",,,
